name,industry,exchange,home_city,home_country,employees,ceo,cfo,rating,supplier1,supplier2,supplier3,supplier4,supplier5,supplier6,supplier7,supplier8,supplier9,supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
alstria office reit ag,office reits,xtra,hamburg,germany,183,elamine olivier,dexne alexander,55.0,kfw,savills advisory services gmbh,,,,,,,,,bundesanstalt für immobilienaufgaben,city of berlin,commerzbank ag,deutsche post immobilien gmbh,gmg generalmietgesellschaft mbh,hamburger hochbahn aktiengesellschaft,hamburger produktionsgesellschaft für druckerzeugnisse gmbh & co. kg,hochtief aktiengesellschaft,mercedes-benz group ag,residenz am dom gemeinnützige betriebsgesellschaft mbh,,board member,hyler brad ,sucharda jan ,worthington rebecca ,powers richard ,,,,
wendel se,multi-sector holdings,enxtpa,paris,france,92410,mignon laurent,drillaud benoit,60.0,,,,,,,,,,,wendel participations,wendel participations,,,,,,,,,,board member,ver hulst nicolas ,gilles pellissier gervais ,mates harper ,parise sophie tomasi,legrain olivier ,torchiana william d.,de mitry francois ,de wendel humbert 
lonza group ag,life sciences tools and services,swx,basel,switzerland,17896,baehny albert,deecke philippe,65.0,908 devices inc.,aarti industries limited,arbor biotechnologies inc.,cryoport inc.,hle glascoat limited,psivac limited,six sag ag,,,,amag pharmaceuticals inc.,aruvant sciences gmbh,astrazeneca plc,atyr pharma inc.,aurinia pharmaceuticals inc.,auxly cannabis group inc.,bacthera ag,bioatrium ag,codiak biosciences inc.,genmab a/s,,board member,baehny albert m.,mader christoph ,richmond barbara m.,steinemann jurgen b.,kohlmann angelica ,verscheure olivier ,helmes marion ,nitsch roger m.
investor ab,multi-sector holdings,nyse,stockholm,sweden,18350,forssell johan,saxon helena,85.0,euroclear sweden ab,,,,,,,,,,,,,,,,,,,,,board member,wallenberg jacob ,forssell johan ,wallenberg marcus ,skaugen grace reksten,nyman sven ,brock lars gunnar bertelson,johnstone thomas ,straberg hans 
itv plc,broadcasting,lse,london,united kingdom,7272,mccall dame carolyn,kennedy chris,55.0,aferian plc,barclays plc,bnp paribas sa,britbox australia management pty limited,britbox international limited,britbox llc,cineverse corp.,credit suisse international,digital 3 and 4 ltd,fadel partners inc.,amazon.com inc.,australian broadcasting corporation,britbox (uk) limited,british broadcasting corporation,channel 5 broadcasting ltd,channel four television corporation,cineverse corp.,digital 3 and 4 ltd,dtv services ltd,home box office inc.,,board member,cosslett andrew ,mccall dame carolyn j.,kennedy chris ,ewing margaret ,nebhrajani sharmila ,carter edward h. bonham,amin salman ,painter duncan anthony
terna rete elettrica nazionale spa,electric utilities,bit,rome,italy,5696,di foggia giuseppina,scornajenchi agostino,65.0,anas s.p.a.,ansaldo energia s.p.a.,banco bpm s.p.a.,cassa depositi e prestiti s.p.a.,cesi s.p.a.,coreso sa,enel spa,eni s.p.a.,european investment bank,ferrovie dello stato italiane s.p.a.,a2a s.p.a.,ansaldo energia s.p.a.,avvenia the energy innovator srl,brugg group ag,cassa per i servizi energetici e ambientali csea,cesi s.p.a.,cesi s.p.a.,construtora quebec s/a,difebal s.a,enel spa,,board member,de biasio igor ,di foggia giuseppina ,giorgino marco ,busso mario matteo,cucchiani enrico tommaso,aubertin jean-michel ,shen qinjing ,mele francesco renato
bucher industries ag,construction machinery and heavy transportation equipment,swx,niederweningen,switzerland,14920,sanche jacques,suter manuela,,emoss mobile systems b.v.,,,,,,,,,,moscow (city of),,,,,,,,,,,board member,mosimann philip a.,hauser anita ,hirzel martin ,hauser michael ,scheiber stefan ,kaufmann urs ,,
rotork plc,industrial machinery and supplies and components,lse,bath,united kingdom,3234,huynh kiet,davis jonathan,,equiniti limited,,,,,,,,,,,,,,,,,,,,,board member,thompson dorothy carrington,huynh kiet t.,davis jonathan m.,andersen ann-christin ,cobbold timothy r.,stipp janice elaine,dilnot peter g.,meurk-harvey karin 
tritax big box reit plc,industrial reits,lse,london,united kingdom,,godfrey colin,whitehead frankie,,banco santander s.a. - london branch,barclays plc,bnp paribas sa (uk branch),canada life investments,cbre limited,colliers international valuation uk llp,computershare investor services plc,hsbc bank plc,landesbank hessen-thüringen girozentrale,pgim real estate finance llc,amazon uk services limited,apple inc.,argos limited,b&q limited,cerealto siro foods s.l.u.,co-operative group limited,currys plc,dhl supply chain limited,dsg retail limited,dunelm (soft furnishings) limited,,board member,adams aubrey john,laing richard george,whitworth karen tracy,hughes alastair ,gang wu ,brown elizabeth anna,,
deutsche telekom ag,integrated telecommunication services,xtra,bonn,germany,205212,hottges timotheus,illek christian,65.0,1&1 ag,akamai technologies inc.,amazon digital services llc,amdocs limited,anoto group ab (publ),apple inc.,cellnex telecom s.a.,dazn limited,demire deutsche mittelstand real estate ag,deutsche bahn ag,1&1 versatel gmbh,11880 solutions ag,deutsche telekom international finance b.v.,deutsche telekom international finance b.v.,digi communications n.v.,ecotel communication ag,eutelsat communications s.a.,freenet ag,hellenic telecommunications organization s.a.,hrvatski telekom d.d.,,board member,appel frank ,hottges timotheus ,sauerland frank ,bohle birgit ,kollmann dagmar p.,streibich karl-heinz ,schröder lothar ,kreusel petra stefanie
carrefour sa,consumer staples merchandise retail,enxtpa,massy,france,346666,bompard alexandre,malige matthieu,60.0,allego n.v.,apex global brands inc.,barilla alimentare s.p.a,bnp paribas sa,bonduelle sca,brand architekts group plc,capitaland china trust,cewe stiftung & co. kgaa,colgate-palmolive company,comarch s.a.,allegro.eu sa,carmila s.a.,carrefoursa carrefour sabanci ticaret merkezi a.s.,costasol de hipermercados s.l.,costasol de hipermercados s.l.,integer.pl spolka akcyjna,label vie s.a.,mestdagh sa,mestdagh sa,micromobility.com inc.,,board member,bompard alexandre ,houze philippe j. c.,halley robert ,edelstenne charles ,courbit stephane ,israel stephane ,lemoine mathilde ,moulin-lemoine patricia 
intertek group plc,research and consulting services,lse,london,united kingdom,43597,lacroix andre pierre,deasy colm,,,,,,,,,,,,aker bp asa,capstone companies inc.,franco-nevada corporation,g6 materials corp.,,,,,,,,board member,martin andrew david,lacroix andre pierre joseph,deasy colm ,rider gill ann,valette jean-michel ,allan graham denis,bains gurnek singh,ingram tamara 
experian plc,research and consulting services,lse,dublin,ireland,22000,cassin brian,pitchford lloyd,,capital appreciation limited,clps incorporation,couchbase inc.,docebo inc.,fair isaac corporation,learning technologies group plc,link market services (jersey) limited,,,,amazon web services inc.,cdk global inc.,credefi ltd.,tatari inc.,,,,,,,,board member,rogers michael john,cassin brian j.,pitchford lloyd m.,boundy craig ,brittain alison jane,howell jonathan anton george,fleury luiz fernando vendramini,donahue caroline f.
nn group nv,life and health insurance,enxtam,the hague,netherlands,13471,knibbe david,van melick annemiek t.,65.0,cromwell european real estate investment trust,eman a.s.,,,,,,,,,indie campers lda,nationale-nederlanden bank n.v.,,,,,,,,,,board member,cole david alan,mohr pauline f.m. van der meer,schoen johannes wilhelmus,leuzinger cecilia g. reyes,jenkins robert warren,beale inga kristine,lelieveld rob j.w.,
electricite de france sa,electric utilities,enxtpa,paris,france,165028,rémont luc,girre xavier,60.0,ace capital partners,actia telecom s.a.,albioma,alstom power service s.a.,assystem engineering and operation sce,assystem s.a.,aveva group plc,banca imi s.p.a.,bilfinger se,cameco corporation,atmea,azienda elettrica ticinese,bilfinger se,channel islands electricity grid ltd.,citelum s.a.,cote d'ivoire,crown commercial service,dalkia france sca,edf energy limited,edf international sas,,board member,rémont luc ,lepetit marie-christine ,lewiner colette ,rignac jean-paul ,taxil christian ,pedini claire ,crémel bruno ,denoyel gilles paul-marie
svenska handelsbanken ab,diversified banks,om,stockholm,sweden,11434,akerstrom carina,cederschiold carl,85.0,hiq international ab (publ),intercede group plc,intrum ab (publ),mastercard international incorporated,visa inc.,wallenstam ab (publ),,,,,af gruppen asa,afry ab,alfa laval corporate ab,alleima ab (publ),annehem fastigheter ab,annehem holding 3 ab,beijer ref ab (publ),biotage gb ltd,biotage sweden ab,biotage llc,,board member,boman par ,akerstrom carina ,lundberg fredrik ,beckman per ,hessius kerstin ,riese ulf ,baksaas jon fredrik,biorck hans 
countryside properties plc,homebuilding,lse,brentwood,united kingdom,2045,,lawlor timothy,,barclays bank plc,equiniti limited,hsbc bank plc,lloyds bank plc,nexus infrastructure plc,santander uk plc,,,,,,,,,,,,,,,,board member,hurt douglas m.,lawlor timothy charles,burton amanda jane,morgan sally ,townsend william simon,lee peter ,clack amanda ,
abb ltd,electrical components and equipment,swx,zurich,switzerland,104720,rosengren bjorn klas,ihamuotila timo,70.0,abb capital gmbh,afc energy plc,alicon castalloy limited,aq group ab (publ),autostore holdings ltd.,bomesc offshore engineering company limited,brand group (m.g) ltd,bt group plc,cavotec sa,coor service management holding ab,ace pillar co. ltd.,aco group berhad,arb holdings limited,bashundhara paper mills limited,ctci corporation,ekopak nv,evgo inc.,fastned b.v.,fluor corporation,hitachi energy ltd.,,board member,voser peter robert,wallenberg jacob ,curado frederico c. pinheiro fleury,meline david w.,constable david edward,forberg lars einar,li xin-zhe ,matchett geraldine 
electrolux ab,household appliances,om,stockholm,sweden,51000,samuelson jonas,friberg therese,65.0,a-tech solution co. ltd.,aeg power solutions b.v.,atrium ljungberg ab (publ),catena ab (publ),cwb automotive electronics co. ltd.,dtcom - direct to company s.a.,gångaren 13 holding ab,hcl technologies limited,hiq international ab (publ),nordic investment bank,com7 public company limited,dcc plc,excelsior medical co. ltd.,komputronik s.a.,techtronic industries company limited,,,,,,,board member,bohman staffan ,samuelson jonas ,litzen ulla ,hedengran petra ,brinkenfeldt-lever viveca ,ferm peter ,porter david ,persson fredrik 
melrose industries plc,aerospace and defense,lse,london,united kingdom,38193,peckham simon,martin geoffrey,,equiniti limited,norsk titanium as,,,,,,,,,airbus se,lockheed martin corporation,,,,,,,,,,board member,dowley justin l.,peckham simon antony,miller james christopher,martin geoffrey peter,dilnot peter g.,lis david george,twyning charlotte louise,lawrence heather 
psp swiss property ag,real estate operating companies,swx,zug,switzerland,91,balzarini giacomo,balzarini giacomo,,wüest & partner ag,,,,,,,,,,aeschbach chocolatier ag,alphabet inc.,bär & karrer ltd.,barry callebaut ag,beekeeper ag,cartier sa,citizenm operations holding b.v.,edmond de rothschild (suisse) s.a.,iwg plc,monoplan ag,,board member,gabriel luciano ,saxborn henrik ,dudle adrian ,denzler corinne ,abramson mark e.,,,
valmet oyj,industrial machinery and supplies and components,hlse,espoo,finland,18194,laine pasi,hokkanen katri,,atrium ljungberg ab (publ),scanfil oyj,sponda plc,,,,,,,,andhra paper limited,arkhbum tissue group llc,asia symbol (shandong) pulp and paper co. ltd,bashundhara paper mills limited,celulose nipo-brasileira s.a. – cenibra,chp-invest kft,circa group as,ds smith paper italia s.r.l.,fábrica de papel san francisco s.a. de c.v.,gascogne papier sas,,board member,makinen mikael ,eskola jaakko-veikko ,söderström eriikka ,cantell aaro ,maurer monika ,kemppainen pekka juhani,lindberg per ,pollanen juha 
barratt developments p l c,homebuilding,lse,coalville,united kingdom,6728,thomas david,scott michael,,equiniti group limited,,,,,,,,,,,,,,,,,,,,,board member,silver caroline louise,thomas david fraser,scott michael ian,boyes steven j.,bickerstaffe katie ,weston chris ,halai jasi h.,
euronext nv,financial exchanges and data,enxtpa,amsterdam,netherlands,2300,boujnah stéphane,modica giorgio,65.0,amazon web services inc.,aruba s.p.a.,capgemini se,cboe clear europe n.v.,equinix inc.,euroclear holding sa/nv,euronext amsterdam n.v.,euronext amsterdam n.v.,euronext brussels sa,euronext corporate services b.v.,acciona s.a.,allfunds bank s.a.u.,banco bilbao vizcaya argentaria s.a.,bloomberg l.p.,bnp paribas sa,electricité de france s.a.,enel spa,engie sa,euronext corporate services b.v.,euronext nordic holding as,,board member,novelli piero ,sluimers dick marinus,rachou nathalie ,thorsrud morten ,da silva manuel ferreira,o’connor padraic joseph,ferone alessandra ,chan diana 
aroundtown sa,real estate operating companies,xtra,luxembourg,luxembourg,1705,bar-hen barak,ben david eyal,65.0,cbre group inc.,jones lang lasalle gmbh,savills plc,,,,,,,,camelbay ltd,tlg immobilien ag,,,,,,,,,,board member,afxentiou jelena ,roseen frank ,leininger markus j.,kreuter markus ,cromme gerhard ,gabay yakir ,jarczyk claudio ,maimon david 
bunzl plc,trading companies and distributors,lse,london,united kingdom,22451,van zanten frank,howes richard,65.0,computershare investor services plc,custodian property income reit plc,essity australasia,frasers logistics & commercial trust,glantus holdings plc,microlise group plc,tcpl packaging limited,,,,,,,,,,,,,,,board member,ventress peter j.,van zanten frank ,howes richard ,murray vanda ,pitchford lloyd m.,nanninga stephan ronald,murria vinodka ,simmonds jacqueline 
snam spa,gas utilities,bit,san donato milanese,italy,3681,venier stefano,passa luca,65.0,ansaldo energia s.p.a.,corinth pipeworks s.a.,covivio,enel spa,eni s.p.a.,euronext n.v.,european investment bank,intesa sanpaolo s.p.a.,italgas s.p.a.,mediobanca banca di credito finanziario s.p.a.,autostrade per l'italia spa,desfa gmbh,enel spa,enel trade s.p.a.,fincantieri s.p.a.,gestore dei mercati energetici s.p.a.,industrie de nora s.p.a.,italgas s.p.a.,italgas s.p.a.,olt offshore lng toscana spa,,board member,de virgiliis monica ,venier stefano ,cafarelli biagio ,cavatorta laura ,rolli rita ,gnocchi stefano ,manzoni piero ,tonetti alessandro 
segro plc,industrial reits,lse,london,united kingdom,425,sleath david john,das soumen,,aukett swanke group plc,cbre limited,equiniti limited,,,,,,,,amazon uk services limited,british airways plc,ceva inc.,cyrusone inc.,deliveroo plc,deutsche post ag,equinix inc.,evri,fedex corporation,geodis logistics s.a.,,board member,harrison andrew ,sleath david john rivers,das soumen ,fairweather carol ,fraser simon william d.,moore martin richard,clayton susan v.,barnard mary elizabeth
teleperformance se,data processing and outsourced services,enxtpa,paris,france,334896,julien daniel,rigaudy olivier,60.0,creative newtech limited,,,,,,,,,,dutch contact centers (dcc) b.v.,luxembourg contact center,metis bilgisayar sistemleri san. ve tic. a.s.,mmcc solutions company,teleperformance group inc.,teleperformance intermediation,teleperformance japan co. ltd.,teleperformance lebanon s.a.l,united states department of state,wibilong sas,,board member,julien daniel ,berrebi jacques ,singh bhupender ,laurent jacques saint,boulet alain ,abrera emily a.,thomas patrick ,canetti bernard 
