Name,ISIN,IQ_COMPANY_ADDRESS,IQ_PRIMARY_INDUSTRY,IQ_EXCHANGE,IQ_CITY,IQ_COUNTRY_NAME,IQ_EMPLOYEES,IQ_CEO_NAME,IQ_CFO_NAME,IQ_SP_LC_LT,Supplier1,Supplier2,Supplier3,Supplier4,Supplier5,Supplier6,Supplier7,Supplier8,Supplier9,Supplier10,customer1,customer2,customer3,customer4,customer5,customer6,customer7,customer8,customer9,customer10,bm1,bm2,bm3,bm4,bm5,bm6,bm7,bm8,bm9,bm10
Gerresheimer AG,DE000A0LD6E6,"Klaus-Bungert-Strasse 4, Düsseldorf, North Rhine-Westphalia, 40468, Germany",Life Sciences Tools and Services,XTRA,Düsseldorf,Germany,11234,"Siemssen, Dietmar","Metzner, Bernd",NR,,,,,,,,,,,Gerresheimer Buenos Aires S.A.,,,,,,,,,,,Board Member,"Herberg, Axel ","Grioli, Francesco ","Schnitzler, Katja ","Kohler, Annette G.","Vetter, Udo Johannes","Rocholz, Markus ","Louise Dorrepaal, Karin ","Noe, Peter Michael"
Amundi SA,FR0004125920,"91-93, Boulevard Pasteur, Paris, Ile-de-France, 75015, France",Asset Management and Custody Banks,ENXTPA,Paris,France,5400,"Baudson, Valerie","Aiello, Domenico",,Smartbroker Holding AG,,,,,,,,,,"Banco de Sabadell, S.A.",BAWAG Group AG,Crédit Agricole Assurances S.A.,Credit Agricole Bank Polska S.A.,Crédit Agricole S.A.,Crédit du Nord Société Anonyme,Crédit Lyonnais S.A.,Eurobank Ergasias Services and Holdings S.A.,"Komercní banka, a.s.","Resona Holdings, Inc.",,Board Member,"Brassac, Philippe ","Perrier, Yves ","Leblanc, Robert ","Molinari, Helene ","Rouchon, Christian ","Védrine, Hubert ","Cayatte, Virginie ","Danon-Arnaud, Laurence "
Siemens Energy AG,DE000ENER6Y0,"Otto-Hahn-Ring 6, Munich, Bavaria, 81739, Germany",Heavy Electrical Equipment,XTRA,Munich,Germany,94000,"Bruch, Christian","Ferraro, Maria",BBB-,EuroGroup Laminations S.p.A.,Google LLC,Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,Siemens Aktiengesellschaft,Smartspace Software plc,,,,,Chart Energy & Chemicals Inc.,HIF Global,MMEX Resources Corporation,"Northeast Energy Center, LLC",Siemens Aktiengesellschaft,Vattenfall AB,,,,,,Board Member,"Kaeser, Josef ","Lienhard, Hubert ","Kensbock, Robert ","Mulliez, Laurence B. L. E.","Bortenlanger, Christine Maria","Gabriel, Sigmar ","Muller, Hildegard ","Rebellius, Matthias Ernst"
Puma SE,DE0006969603,"PUMA WAY 1, Herzogenaurach  91074, Germany",Footwear,XTRA,Herzogenaurach,Germany,17590,"Freundt, Arne","Hinterseher, Hubert",,AutoStore Holdings Ltd.,Hela Apparel Holdings PLC,ID Logistics Group SA,ISE Commerce Company Limited,Ithacalux Topco S.C.A.,Malaysia Airports Holdings Berhad,NoonTalk Media Limited,"Pan-Pacific Co., Ltd.",Parsvnath Developers Limited,Pronto Express Logistica S/A,"Caleres, Inc.",Delta Galil Industries Ltd.,Delta Galil Industries Ltd.,Dufry AG,"Foot Locker, Inc.","Foot Locker, Inc.","Fossil Group, Inc.","Hibbett, Inc.",JD Sports Fashion Plc,MST Golf Group Berhad,,Board Member,"Temple-Boyer, Heloise ","Ohlsson, Thore ","Duplaix, Jean-Marc ","Oly, Fiona May","Illig, Bernd ","Koeppel, Martin ",,
Aviva PLC,GB0002162385,"St Helen’s, 1 Undershaft, London, Greater London, EC3P 3DQ, United Kingdom",Multi-line Insurance,LSE,London,United Kingdom,24364,"Blanc, Amanda","Jones, Charlotte",A,Apple Inc.,Aviva Group Holdings Limited,Close Brothers Group plc,Comp S.A.,Computershare Investor Services PLC,Dianomi plc,Equiniti Group Limited,Fintel Plc,General Accident Plc,"Global Net Lease Operating Partnership, L.P.",AA Limited,Aviva Group Holdings Limited,Birchwood Warrington Limited,Fintel Plc,Primary Health Properties Plc,Redefine Properties International Limited,Royal Bank of Canada,Stor-Age Property REIT Limited,,,,Board Member,"Culmer, Mark George","Blanc, Amanda Jayne","Jones, Charlotte Claire","Flynn, Patrick Gerard","Lambert, Philippa ","Jemmett-Page, Shonaid Christina Ross","Blance, Andrea Margaret","Mire, Michael Philip"
Genmab A/S,DK0010272202,"Kalvebod Brygge 43, Copenhagen, Capital Region of Denmark, 1560, Denmark",Biotechnology,CPSE,Copenhagen,Denmark,2015,"Winkel, Jan G.J. van","Pagano, Anthony",,AbbVie Biotechnology Ltd.,Immatics N.V.,Lonza Group AG,"Medarex, Inc.","Open Monoclonal Technology, Inc.",Oxford BioTherapeutics Ltd.,Roche Holding AG,Scancell Holdings plc,Seagen Inc.,Syngene International Limited,AbbVie Biotechnology Ltd.,ADC Therapeutics SA,Amgen Inc.,BioNTech SE,Bristol-Myers Squibb Company,CureVac AG,"Global Blood Therapeutics, Inc.",H. Lundbeck A/S,Horizon Therapeutics Public Limited Company,Immatics N.V.,,Board Member,"Connelly, Deirdre P.","Erenbjerg, Pernille ","Schultz, Martin ","Zachariasse, Mijke ","Hamatani, Takahiro ","Pedersen, Anders Gersel","Paoletti, Paolo ","Hoffmann, Rolf Karl-Heinz"
Siemens Gamesa Renewable Energy SA,ES0143416115,"Ramon y Cajal 7-9, Edificio 222, Zamudio, Basque Country, 48170, Spain",Heavy Electrical Equipment,BME,Zamudio,Spain,9379,,,,Mersen S.A.,Premier Limited,"Romi Machine Tools, Ltd.",Wilson Sporting Goods Co.,,,,,,,EDF Belgium SA,Electricité de France S.A.,,,,,,,,,,Board Member,,,,,,,,
Stora Enso Oyj,FI0009005961,"Salmisaarenaukio 2, PO Box 309, Helsinki, Uusimaa, 00101, Finland",Paper Products,HLSE,Helsinki,Finland,21000,"Sohlstrom, Hans","Parvi, Seppo",NR,Afry AB,Euroclear Finland Ltd,Kopparfors Fastigheter Ab,Pihlajalinna Oyj,Steveco Oy,Tornator Oy,Tornator Oyj,Zalaris ASA,,,Innovia Films Limited,UPM-Kymmene Oyj,,,,,,,,,,Board Member,"Jordan, Kari Alpo Erik","Buskhe, Hakan ","Nilsson, Richard ","Kuehne, Christiane ","Makinen, Antti ","Fleuriot, Elisabeth ","Hedblom, Helena ","Hermann, Astrid "
Safran SA,FR0000073272,"2, boulevard du Général Martial-Valin, Cedex 15, Paris, Ile-de-France, 75724, France",Aerospace and Defense,ENXTPA,Paris,France,83217,"Andries, Olivier","Bantegnie, Pascal",A-,Ace Capital Partners,Aero Win Technology Corporation,"Albany Safran Composites, LLC",ATI Inc.,Bet Shemesh Engines Holdings (1997) Ltd,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",ESI Group SA,European Investment Bank,EXEL Industries SA,FACC AG,A J Walter Aviation Limited,"ABC Aerolineas, S.A. de C.V.",Air India Limited,Airbus Helicopters SAS,Airbus S.A.S.,"All Nippon Helicopter Co.,Ltd.",Alstom SA,ANA Holdings Inc.,ArianeGroup GmbH,"Aviation Industry Corporation of China,Ltd.",,Board Member,"McInnes, Ross ","Andries, Olivier ","Cohen, Monique ","Guillot, Laurent ","Aubry, Marc ","Auriol-Potier, Helene ","Pelata, Patrick ","Peugeot, Robert "
Ubisoft Entertainment SA,FR0000054470,"2, avenue Pasteur, Saint-Mandé, Ile-de-France, 94160, France",Interactive Home Entertainment,ENXTPA,Saint-Mandé,France,20133,"Guillemot, Yves","Duguet, Frédérick",,"Akamai Technologies, Inc.",Allied Properties Real Estate Investment Trust,Azerion Group N.V.,Bidstack Group Plc,Code Red Esports Ltd,D-BOX Technologies Inc.,Keywords Studios plc,Micropole S.A.,Paysafe Limited,Punktid Technologies AS,Alliance Entertainment Holding Corporation,D-BOX Technologies Inc.,GOG Ltd,,,,,,,,,Board Member,"Guillemot, Yves ","Guillemot, Claude ","Guillemot, Christian ","Guillemot, Michel ","Guillemot, Gerard ","Parkes, John ","Hubert-Moy, Laurence ","Naviner, Florence "
Carlsberg A/S,DK0010181759,"1 J. C. Jacobsens Gade, Copenhagen V, Copenhagen, Capital Region of Denmark, 1799, Denmark",Brewers,CPSE,Copenhagen,Denmark,31000,"Aarup-Andersen, Jacob","Fearn, Ulrica",,Ardagh Group S.A.,Avantium Renewable Polymers B.V.,Better Energy Solutions A/S,Carlsberg Breweries A/S,Carlsberg Foundation,Comarch S.A.,CPMC Holdings Limited,El-Mor Electric Installation & Services (1986) Ltd.,Electrolux Professional AB (publ),GRC International Group plc,Bukit Darah PLC,Carlsberg Breweries A/S,Carlsberg Brewery Malaysia Berhad,Carlsberg Foundation,Lion Brewery (Ceylon) PLC,Simonds Farsons Cisk plc,,,,,,Board Member,"Poulsen, Henrik ","Schultz, Majken ","Burrows, Richard George William","Biner, Lilian Fossum","Decker, Eva Vilstrup","Aro, Esko Mikael","Olesen, Soren-Peter Fuchs","Lund, Erik "
Aena SME SA,ES0105046009,"calle Peonías, 12, Madrid, Madrid, 28042, Spain",Airport Services,BME,Madrid,Spain,8532,"Lucena Betriu, Maurici","Leo Vizcaino, Jose",,Adp Ingenierie SA,Aerocali S.A.,"Aeropuertos Mexicanos del Pacifico S.A., de C.V.",Autoridad Portuaria De Ceuta,"Banco de Crédito Social Cooperativo, S.A.","Banco de Sabadell, S.A.","Banco Santander, S.A.","Bankinter, S.A.","CaixaBank, S.A.","Credit Agricole CIB, Spain Branch","Aena Sociedad Concesionaria Del Aeropuerto Internacional De La Region De Murcia S.M.E., S.",Aerocali S.A.,Aeroportos do Nordeste do Brasil S.A.,"Aeropuertos Mexicanos del Pacifico S.A., de C.V.",Air Europa Líneas Aéreas S.A.U.,"Air Nostrum Lineas Aereas Del Mediterraneo, S.A.",Binter Canarias S.A.,Deutsche Lufthansa AG,easyJet plc,Easyjet Switzerland Sa,,Board Member,"Lucena Betriu, Maurici ","Marin San Andres, Francisco Javier","Terceiro Lomba, Jaime ","Lopez Seijas, Amancio ","Piquero, Irene Cano","Arranz Notario, Pilar ","Martínez Ortega, Angélica ","Iglesias Herraiz, Leticia "
BillerudKorsnas AB (publ),SE0000862997,"PO Box 703, Solna, Stockholm County, 169 27, Sweden",Paper and Plastic Packaging Products and Materials,OM,Solna,Sweden,6141,"Vatne, Ivar","Kres, Andrei",,Bergvik Skog ÖSt Ab,Bomhus Energi Aktiebolag,Bsö Holding Ab,Euroclear Sweden AB,Vattenfall Europe AG,,,,,,Bergvik Skog ÖSt Ab,Bsö Holding Ab,Holcim Ltd,,,,,,,,,Board Member,"Svensson, Jan ","Astrom, Jan ","Johansson, Nicklas ","Van Camp, Victoria ","Bertilsson, Per ","Heiserer, Florian ","Nicolin, Magnus R.","Aalstad, Regi "
Future PLC,GB00BYZN9041,"Quay House, The Ambury, Bath, Avon, BA1 1UA, United Kingdom",Publishing,LSE,Bath,United Kingdom,2985,"Steinberg, Jonathan","Ladkin-Brand, Penelope",,Computershare Investor Services PLC,,,,,,,,,,,,,,,,,,,,,Board Member,"Huntingford, Richard Norman Legh","Steinberg, Jonathan ","Newman, Alan Philip Stephen","David Brooker, Mark ","Drayton, Hugo Charles","Hattrell, Robert John","Amdur, Meredith Eve","Seymour-Jackson, Angela Charlotte"
OMV AG,AT0000743059,"Trabrennstrasse 6-8, Vienna, Vienna, 1020, Austria",Integrated Oil and Gas,WBAG,Vienna,Austria,22271,"Stern, Alfred","Florey, Reinhard",,Abu Dhabi Polymers Co. Ltd (Borouge) L.L.C,ADNOC Global Trading Ltd.,Adnoc Trading,Altera Infrastructure L.P.,Borouge plc,Borouge Pte. Ltd.,Corinth Pipeworks Industry Pipes Societe Anonyme,Deutsche Transalpine Oelleitung Gmbh,EPS Ethylen-Pipeline-Süd GmbH & Co. KG,Erdöl-Lagergesellschaft m.b.H.,Abu Dhabi National Oil Company,Abu Dhabi Oil Refining Company,Abu Dhabi Polymers Co. Ltd (Borouge) L.L.C,ADNOC Global Trading Ltd.,Adnoc Trading,Bayport Polymers LLC,Bayport Polymers LLC,Borealis AG,Borouge plc,Borouge Pte. Ltd.,,Board Member,"Feldmann, Lutz Peter","Mazrouei, Saeed Al","Hlawati, Edith ","Tumpel-Gugerell, Gertrude ","Doboczky, Stefan ","Kuwaiti, Alyazia Ali Saleh Al","Stadler, Elisabeth ","Renard, Jean-Baptiste "
Storebrand ASA,NO0003053605,"Professor Kohts vei 9, P.O. Box 474, Lysaker, Akershus, 1327, Norway",Life and Health Insurance,OB,Lysaker,Norway,2161,"Grefstad, Odd","Loddesol, Lars",BBB+,Coor Service Management Holding AB,SPP Pension & Försäkring AB (publ),,,,,,,,,Storebrand Bank ASA,Storebrand Livsforsikring AS,,,,,,,,,,Board Member,"Munch, Didrik Oskar","Venold, Terje Richard","Orgland, Karin Bing","Madsen, Vibeke Hammer","Pedersen, Rune J.","Skancke, Martin ","Grave, Hanne Seim","Salvesen, Hans-Petter "
Dechra Pharmaceuticals PLC,GB0009633180,"24 Cheshire Avenue, Cheshire Business Park, Lostock Gralam, Northwich, Cheshire, CW9 7UA, United Kingdom",Pharmaceuticals,LSE,Northwich,United Kingdom,1998,"Page, Ian","Sandland, Paul",,Akston Biosciences Corporation,Akston Biosciences Corporation,Animal Ethics Pty Ltd,"Anivive Lifesciences, Inc.",Bank of Ireland (UK) plc,BNP Paribas SA (UK branch),Crédit Industriel et Commercial London Branch,Dermcare-Vet Pty. Ltd.,Equiniti Limited,"Fifth Third Bank, National Association",,,,,,,,,,,,Board Member,"Platt, Alison Elizabeth","Page, Ian D.","Sandland, Paul Nicholas","Griffin, Anthony Gerard","Shipsey, John Francis","Gopalan, Geeta ","MacArtney, Lawson ","Morrison, Lisa Bright"
Sonova Holding AG,CH0012549785,"Laubisrütistrasse 28, Stäfa, Zurich, 8712, Switzerland",Health Care Equipment,SWX,Stäfa,Switzerland,17608,"Kaldowski, Arnd","Conix, Birgit",,"Bluetooth SIG, Inc.","CEVA, Inc.",Diversified Healthcare Trust,Sennheiser electronic GmbH & Co. KG,ShareCommService AG,,,,,,,,,,,,,,,,,Board Member,"Spoerry, Robert F.","Seng, Stacy Enxing","Braunschweiler, Lukas ","Widmer, Adrian ","Bleil, Lynn Dorsey","van der Vis, W. T. C.","Diggelmann, Roland D.","Behar, Gregory "
Yara International ASA,NO0010208051,"Drammensveien 131, Oslo, Oslo, 0277, Norway",Fertilizers and Agricultural Chemicals,OB,Oslo,Norway,17500,"Holsether, Svein Tore","Giæver, Thor",BBB,AB Svensk Exportkredit (publ),International Finance Corporation,ITM Power Plc,Nordic Investment Bank,Sociedad Química y Minera de Chile S.A.,SRG Global Limited,"Técnicas Reunidas, S.A.",,,,Sociedad Química y Minera de Chile S.A.,,,,,,,,,,,Board Member,"Berger, Trond ","Hilland, Jannicke ","Thorstein, Harald Lauritz","Sundbo, Geir Olav","Bratteberg, Rune Asle","Thuestad, John Gabriel","Aspvik, Eva Safrine","Hoimyr, Ragnhild Flesland"
Carl Zeiss Meditec AG,DE0005313704,"Goschwitzer Strasse 51-52, Jena, Thuringia, 07745, Germany",Health Care Equipment,XTRA,Jena,Germany,4624,"Weber, Markus","Wehmer, Justus",,Carl Zeiss Financial Services Gmbh,Coherent Corp.,Optiscan Imaging Limited,Schott AG,ZEISS Group,ZEISS Group,ZEISS Group,,,,Diesel & Motor Engineering PLC,ZEISS Group,,,,,,,,,,Board Member,"Lamprecht, Karl ","Denner, Rene ","Kaschke, Michael F.","Munster, Christian ","Müller, Christian ","Kameritsch, Peter ","von der Goltz, Tania ","De Paoli, Isabel "
Investment AB Latour,SE0010100958,"J A Wettergrens gata 7, PO Box 336, Gothenburg, Västra Götaland County, 401 25, Sweden",Industrial Conglomerates,OM,Gothenburg,Sweden,8519,"Hjertonsson, Johan","Morck, Anders",,Euroclear Sweden AB,,,,,,,,,,,,,,,,,,,,,Board Member,"Rosengren, Joakim ","Hjertonsson, Johan ","Douglas, Eric ","Boos, Anders Christier","Douglas, Carl ","Linder, Mariana Burenstam","Olving, Lena ","Kolsrud, Ulrika "
Tomra Systems ASA,NO0005668905,"Drengsrudhagen 2, Asker, Akershus, 1385, Norway",Industrial Machinery and Supplies and Components,OB,Asker,Norway,5000,"Andersen, Tove","Sagemo, Eva",,Digimarc Corporation,Scanfil Oyj,TOMRA Production AS,Zalaris ASA,,,,,,,Oy Tomra Ab,Tomra Butikksystemer As,Tomra Canada Inc,Tomra Collection France,Tomra Collection Ltd,Tomra Collection Pty Ltd,Tomra Environmental Protection Technology (Xiamen) Co. Ltd.,Tomra Leergutsysteme Ges.M.B.H.,Tomra of North America Finance Corporation,Tomra Service Ou,,Board Member,"Hjertonsson, Johan ","Couderc, Pierre ","Gallon, Bodil Sonesson","Matre, Bjorn ","Skryseth, Hege ","Korneliussen, Kjell ","Bergan, Pauline ","Verlo, Alexander "
Intesa Sanpaolo SpA,IT0000072618,"Piazza San Carlo, 156, Turin, Turin, 10121, Italy",Diversified Banks,BIT,Turin,Italy,94874,"Messina, Carlo","Del Punta, Stefano",BBB,Aubay Société Anonyme,BlackRock Advisors (UK) Limited,BlackRock Investment Management (UK) Limited,Covivio,Digit'ed,Equiter S.p.A,Google LLC,"Huawei Device Co., Ltd.",Intesa Sanpaolo Life Designated Activity Company,Intesa Sanpaolo Vita S.p.A.,A2A S.p.A.,"Abertis Infraestructuras, S.A.",Abu Dhabi Investment Authority,Acciaieria Arvedi S.p.A.,"Acerinox, S.A.",Aeroporto Guglielmo Marconi di Bologna S.p.A.,"Air Products and Chemicals, Inc.",Alia Servizi Ambientali S.p.A.,Altaformazione Srl,Altea Green Power S.p.A.,,Board Member,"Gros-Pietro, Gian Maria","Messina, Carlo ","Colombo, Paolo Andrea","Pomodoro, Livia ","Pisani, Alberto Maria","Tagliavini, Paola ","Ceruti, Franco ","Picca, Bruno "
STMicroelectronics NV,NL0000226223,"39 Chemin du Champ des Filles, 1228 Plan-Les-Ouates, Geneva, Geneva  Switzerland",Semiconductors,ENXTPA,Geneva,Switzerland,51370,"Chery, Jean-Marc","Grandi, Lorenzo",BBB,Arm Holdings plc,Atomera Incorporated,BE Semiconductor Industries N.V.,Cassa Depositi e Prestiti S.p.A.,"CEVA, Inc.",Eiffage SA,European Investment Bank,Greenyellow Vente d Energie S.A.S.U,inTEST Corporation,"MK Electron Co., Ltd.",Apple Inc.,Blues Inc.,Bosch Corporation,Continental Aktiengesellschaft,"Delta Electronics, Inc.",Focus Universal Inc.,HP Inc.,"Huawei Investment & Holding Co., Ltd.",Mobileye Global Inc.,Mobileye N.V.,,Board Member,"Dufourcq, Nicolas ","Tamagnini, Maurizio ","Davidson, Janet G.","Pro Gonzalo, Ana María de","Sanchez, Frederic ","Delabriere, Yann ","Vletter-van Dort, Hélène Maria","Visca, Paolo "
Diploma PLC,GB0001826634,"10-11 Charterhouse Square, London, Greater London, EC1M 6EE, United Kingdom",Trading Companies and Distributors,LSE,London,United Kingdom,3000,"Thomson, Jonathan","Davies, Chris",,Computershare Investor Services PLC,,,,,,,,,,,,,,,,,,,,,Board Member,"Lowden, David Soutar","Thomson, Jonathan D.","Davies, Chris ","Smith, Andrew P.","Thorburn, Anne ","Huse, Geraldine Claire","Finch, Dean Kendal","Ward, Jennifer "
Aedifica SA,BE0003851681,"Rue Belliard 40 (box 11), Brussels, Brussels, 1040 Belgium",Health Care REITs,ENXTBR,Brussels,Belgium,126,"Gielens, Stefaan","Daerden, Ingrid",BBB,ABN AMRO Bank N.V.,Argenta Spaarbank nv,Belfius Bank SA,BNP Paribas Fortis SA,BNP Paribas S.A. Niederlassung Deutschland,BNP Paribas SA,Caisse d'Epargne Hauts de France,Cbre Gmbh (Germany),Cushman & Wakefield Belgium,Cushman & Wakefield Debenham Tie Leung Limited,Argentum Holding Projektfinanszirozo Es Hitelkozpont Penzugyi Szolgaltato Zrt.,Armonea NV,Atv LemfÖRde Gmbh,Autismisäätiö Sr,AZURIT Rohr GmbH,Bondcare (London) Ltd,Bremdael VZW,Care UK Community Partnerships Ltd,Compartijn B.V.,Cosiq GmbH,,Board Member,"Wibaut, Serge Roger Philippe","Gielens, Stefaan ","Daerden, Ingrid ","Thomassen, Raoul ","Van Aelst, Charles-Antoine ","Bogaerts, Sven Andre","May-Roberti, Elisabeth ","Willekens, Marleen "
Arcadis NV,NL0006237562,"Gustav Mahlerplein 97-103, Amsterdam, Noord-Holland, 1082 MS, Netherlands",Research and Consulting Services,ENXTAM,Amsterdam,Netherlands,31552,"Brookes, Alan","Duperat-Vergne, Virginie J.",BBB-,Fugro N.V.,,,,,,,,,,Akzo Nobel N.V.,Alcoa Inc.,Camden Council,City of Toronto,Land Transport Authority of Singapore,Los Angeles County Metropolitan Transportation Authority,Metropolitan Transportation Authority,ProRail B.V.,Scott Parnell Limited,Sydney Metro,,Board Member,"Lap, Michiel P.","Putnam, Michael C.","Goodwin, Deanna L. M.","Mahieu, Carla M. C.","Duganier, Barbara J.",,,
Dino Polska SA,PLDINPL00011,"ul. Ostrowska 122, Krotoszyn  63-700, Poland",Food Retail,WSE,Krotoszyn,Poland,39427,,"Krauze, Michal",,Bank Millennium S.A.,Bt Kapital Spolka Z Ograniczona Odpowiedzialnoscia,ING Bank Slaski S.A.,Krot Invest 2 Kr Inzynieria Sp Z O O Spolka Komandytowa,Krot Invest KR Inzynieria sp. z o.o. SKA,Krynica Vitamin S.A.,Mleczarnia Naramowice Sp. z o.o.,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,Quantum Qguar sp. z o.o.,Tbe Spolka Z Ograniczona Odpowiedzialnoscia,Bt Kapital Spolka Z Ograniczona Odpowiedzialnoscia,Kapital Sp. z o.o.,KR Inzynieria Spolka Z Ograniczona Odpowiedzialnoscia,Krot Invest 2 Kr Inzynieria Sp Z O O Spolka Komandytowa,Krot Invest KR Inzynieria sp. z o.o. SKA,Mleczarnia Naramowice Sp. z o.o.,Tbe Spolka Z Ograniczona Odpowiedzialnoscia,Zaklady Miesne Biernacki Tomasz Biernacki,,,,Board Member,"Biernacki, Tomasz ","Nowjalis, Piotr ","Jakszuk, Slawomir ","Bajer, Eryk ","Polanowski, Maciej ",,,
A2A SpA,IT0001233417,"Via Lamarmora, 230, Brescia, Brescia, 25124, Italy",Multi-Utilities,BIT,Brescia,Italy,13841,"Mazzoncini, Renato","Moroni, Luca",BBB,European Investment Bank,Intesa Sanpaolo S.p.A.,Maps S.p.A.,Terna S.p.A.,,,,,,,,,,,,,,,,,,Board Member,"Mazzoncini, Renato ","Comboni, Giovanni ","Zunino, Alessandro ","Muzi, Silvia ","Dorigoni, Susanna ","Cariello, Vincenzo ","Lavini, Fabio ","Speranza, Grazia Maria"
Mondi PLC,GB00B1CRLC47,"The Heights, Ground Floor, Building 5, Brooklands, Surrey, Weybridge, Surrey, KT13 0NY, United Kingdom",Paper Products,LSE,Weybridge,United Kingdom,21200,"King, Andrew Charles","Powell, Michael",A-,European Investment Bank,,,,,,,,,,Les Crudettes SAS,,,,,,,,,,,Board Member,"Yea, Philip Edward","King, Andrew Charles Wallis","Powell, Michael Andrew","Reiniche, Dominique Jacqueline Nicole","Young, Stephen G.","Strank, Angela Rosemary Emily","Brandtzaeg, Svein-Richard ","Clark, Susan "
Verbund AG,AT0000746409,"Am Hof 6a, Vienna, Vienna, 1010, Austria",Electric Utilities,WBAG,Vienna,Austria,3696,"Strugl, Michael","Kollmann, Peter",A,Afry AB,Ennskraftwerke AG,KELAG-Kärntner Elektrizitäts-Aktiengesellschaft,Österreichische Bundesbahnen-Holding Aktiengesellschaft,,,,,,,BBG Bundesbeschaffung GmbH,Energie Steiermark Wärme GmbH,Energji Ashta shpk,KELAG-Kärntner Elektrizitäts-Aktiengesellschaft,Kng-kärnten Netz Gmbh,OeMAG Abwicklungsstelle für Ökostrom AG,OMV Aktiengesellschaft,Österreichische Bundesbahnen-Holding Aktiengesellschaft,Telekom Austria AG,,,Board Member,"Ohneberg, Martin ","Catasta, Christine ","Hlawati, Edith ","Praetorius, Barbara ","Rummler, Eckhardt ","Christof, Kurt ","Liebscher, Wolfgang ","Roth, Jürgen "
Covestro AG,DE0006062144,"Kaiser-Wilhelm-Allee 60, Leverkusen, North Rhine-Westphalia, 51373, Germany",Specialty Chemicals,XTRA,Leverkusen,Germany,17591,"Steilemann, Markus","Baier, Christian",,BioAmber Inc.,DSM-Firmenich AG,"Grupo Antolin-Irausa, S.A.U.",O'neill & Associates,Sopheon plc,,,,,,Bayer-Pensionskasse VVaG,Covestro Deutschland AG,LANXESS Aktiengesellschaft,"Origin Laboratories, Inc.",Rheinische Pensionskasse Versicherungsverein Auf Gegenseitigkeit,"Yung Chi Paint & Varnish Mfg.Co.,Ltd",,,,,,Board Member,"Pott, Richard ","Kronen, Petra ","Kingo, Lise ","Schneider, Sven ","Thomas, Patrick W.","Stachelhaus, Regine ","Küstner, Irena Helga","Bortenlanger, Christine Maria"
